"","yan"
"131","CD14+ monocyte"
"132","Dendritic cell"
"133","Dendritic cell"
"134","CD14+ monocyte"
"135","Dendritic cell"
"136","Dendritic cell"
"137","Dendritic cell"
"138","Dendritic cell"
"139","Dendritic cell"
"140","CD14+ monocyte"
"141","Dendritic cell"
"142","CD14+ monocyte"
"143","Dendritic cell"
"144","Dendritic cell"
"145","Dendritic cell"
"146","Dendritic cell"
"147","Dendritic cell"
"148","CD14+ monocyte"
"149","Dendritic cell"
"150","Dendritic cell"
"151","CD14+ monocyte"
"152","Dendritic cell"
"153","Dendritic cell"
"154","Dendritic cell"
"155","Dendritic cell"
"156","Dendritic cell"
"157","CD14+ monocyte"
"158","Dendritic cell"
"159","Dendritic cell"
"160","Dendritic cell"
"161","CD14+ monocyte"
"162","Dendritic cell"
"163","Dendritic cell"
"164","Dendritic cell"
"165","Dendritic cell"
"166","Dendritic cell"
"167","Dendritic cell"
"168","Dendritic cell"
"169","Dendritic cell"
"170","Dendritic cell"
"171","Dendritic cell"
"172","Dendritic cell"
"173","Dendritic cell"
"174","Dendritic cell"
"175","Dendritic cell"
"176","Dendritic cell"
"177","CD14+ monocyte"
"178","CD14+ monocyte"
"179","Dendritic cell"
"180","Dendritic cell"
"181","Dendritic cell"
"182","Dendritic cell"
"183","Dendritic cell"
"184","Dendritic cell"
"185","Dendritic cell"
"186","Dendritic cell"
"187","Dendritic cell"
"188","Dendritic cell"
"189","Dendritic cell"
"190","Dendritic cell"
"191","Dendritic cell"
"192","Dendritic cell"
"193","CD14+ monocyte"
"194","Dendritic cell"
"195","Dendritic cell"
"196","Dendritic cell"
"197","Dendritic cell"
"198","Dendritic cell"
"199","Dendritic cell"
"200","Dendritic cell"
"201","Dendritic cell"
"202","Dendritic cell"
"203","Dendritic cell"
"204","Dendritic cell"
"205","Dendritic cell"
"206","Dendritic cell"
"207","Dendritic cell"
"208","CD14+ monocyte"
"209","Dendritic cell"
"210","Dendritic cell"
"211","Dendritic cell"
"212","Dendritic cell"
"213","Dendritic cell"
"214","Dendritic cell"
"215","Dendritic cell"
"216","Dendritic cell"
"217","Dendritic cell"
"218","Dendritic cell"
"219","Dendritic cell"
"220","Dendritic cell"
"221","Dendritic cell"
"222","Dendritic cell"
"223","Dendritic cell"
"224","Dendritic cell"
"225","Dendritic cell"
"226","Dendritic cell"
"227","Dendritic cell"
"228","Dendritic cell"
"229","Dendritic cell"
"230","Dendritic cell"
"231","CD14+ monocyte"
"232","CD14+ monocyte"
"233","Dendritic cell"
"234","Dendritic cell"
"235","Dendritic cell"
"236","Dendritic cell"
"237","Dendritic cell"
"238","Dendritic cell"
"239","Dendritic cell"
"240","Dendritic cell"
"241","Dendritic cell"
"242","Dendritic cell"
"243","Dendritic cell"
"244","Dendritic cell"
"245","CD14+ monocyte"
"246","CD14+ monocyte"
"247","CD14+ monocyte"
"248","Dendritic cell"
"249","Dendritic cell"
"250","Dendritic cell"
"251","Dendritic cell"
"252","Dendritic cell"
"253","Dendritic cell"
"254","Dendritic cell"
"255","Dendritic cell"
"256","Dendritic cell"
"257","CD14+ monocyte"
"258","Dendritic cell"
"259","CD14+ monocyte"
"260","Dendritic cell"
"261","Dendritic cell"
"262","Dendritic cell"
"263","CD14+ monocyte"
"264","Dendritic cell"
"265","Dendritic cell"
"266","CD14+ monocyte"
"267","CD14+ monocyte"
"268","Dendritic cell"
"269","Dendritic cell"
"270","CD14+ monocyte"
"271","Dendritic cell"
"272","Dendritic cell"
"273","CD14+ monocyte"
"274","Dendritic cell"
"275","Dendritic cell"
"276","CD14+ monocyte"
"277","Dendritic cell"
"278","Dendritic cell"
"279","Dendritic cell"
"280","Dendritic cell"
"281","Dendritic cell"
"282","Dendritic cell"
"283","Dendritic cell"
"284","Dendritic cell"
"285","CD14+ monocyte"
"286","Dendritic cell"
"287","Dendritic cell"
"288","Dendritic cell"
"289","Dendritic cell"
"290","Dendritic cell"
"291","Dendritic cell"
"292","Dendritic cell"
"293","Dendritic cell"
"294","Dendritic cell"
"295","Dendritic cell"
"296","Dendritic cell"
"297","Dendritic cell"
"298","CD14+ monocyte"
"299","Dendritic cell"
"300","Dendritic cell"
"301","Dendritic cell"
"302","Dendritic cell"
"303","Dendritic cell"
"304","Dendritic cell"
"305","Dendritic cell"
"306","CD14+ monocyte"
"307","Dendritic cell"
"308","Dendritic cell"
"309","Dendritic cell"
"310","Dendritic cell"
"311","Dendritic cell"
"312","Dendritic cell"
"313","Dendritic cell"
"314","Dendritic cell"
"315","Dendritic cell"
"316","CD14+ monocyte"
"317","CD14+ monocyte"
"318","Dendritic cell"
"319","Dendritic cell"
"320","Dendritic cell"
"321","Dendritic cell"
"322","Dendritic cell"
"323","Dendritic cell"
"324","Dendritic cell"
"325","Dendritic cell"
"326","Dendritic cell"
"327","Dendritic cell"
"328","Dendritic cell"
"329","Dendritic cell"
"330","Dendritic cell"
"331","Dendritic cell"
"332","Dendritic cell"
"333","Dendritic cell"
"334","Dendritic cell"
"335","Dendritic cell"
"336","Dendritic cell"
"337","Dendritic cell"
"338","Dendritic cell"
"339","CD14+ monocyte"
"340","Dendritic cell"
"341","Dendritic cell"
"342","CD14+ monocyte"
"343","Dendritic cell"
"344","Dendritic cell"
"345","Dendritic cell"
"346","Dendritic cell"
"347","Dendritic cell"
"348","Dendritic cell"
"349","Dendritic cell"
"350","Dendritic cell"
"351","Dendritic cell"
"352","Dendritic cell"
"353","Dendritic cell"
"354","Dendritic cell"
"355","Dendritic cell"
"356","Dendritic cell"
"357","Dendritic cell"
"358","Dendritic cell"
"359","Dendritic cell"
"360","Dendritic cell"
"361","Dendritic cell"
"362","Dendritic cell"
"363","Dendritic cell"
"364","Dendritic cell"
"365","Dendritic cell"
"366","Dendritic cell"
"367","CD14+ monocyte"
"368","Dendritic cell"
"369","Dendritic cell"
"370","Dendritic cell"
"371","CD14+ monocyte"
"372","Dendritic cell"
"373","Dendritic cell"
"374","Dendritic cell"
"375","Plasmacytoid dendritic cell"
"376","Dendritic cell"
"377","Plasmacytoid dendritic cell"
"378","Plasmacytoid dendritic cell"
"379","Dendritic cell"
"380","Dendritic cell"
"381","Plasmacytoid dendritic cell"
"382","Plasmacytoid dendritic cell"
"383","unassigned"
"384","Plasmacytoid dendritic cell"
"385","Plasmacytoid dendritic cell"
"386","B cell"
"387","Plasmacytoid dendritic cell"
"388","Plasmacytoid dendritic cell"
"389","Plasmacytoid dendritic cell"
"390","Plasmacytoid dendritic cell"
"391","Plasmacytoid dendritic cell"
"392","Plasmacytoid dendritic cell"
"393","CD4+ T cell"
"394","Plasmacytoid dendritic cell"
"395","Plasmacytoid dendritic cell"
"396","Plasmacytoid dendritic cell"
"397","Plasmacytoid dendritic cell"
"398","Dendritic cell"
"399","Plasmacytoid dendritic cell"
"400","Plasmacytoid dendritic cell"
"401","B cell"
"402","unassigned"
"403","B cell"
"404","B cell"
"405","B cell"
"406","B cell"
"407","B cell"
"408","B cell"
"409","B cell"
"410","B cell"
"411","B cell"
"412","B cell"
"413","B cell"
"414","B cell"
"415","B cell"
"416","B cell"
"417","B cell"
"418","B cell"
"419","B cell"
"420","B cell"
"421","Dendritic cell"
"422","B cell"
"423","CD4+ T cell"
"424","B cell"
"425","B cell"
"426","B cell"
"427","B cell"
"428","B cell"
"429","B cell"
"430","B cell"
"431","B cell"
"432","B cell"
"433","B cell"
"434","B cell"
"435","B cell"
"436","B cell"
"437","B cell"
"438","B cell"
"439","B cell"
"440","B cell"
"441","B cell"
"442","B cell"
"443","B cell"
"444","B cell"
"445","B cell"
"446","B cell"
"447","B cell"
"448","B cell"
"449","B cell"
"450","B cell"
"451","B cell"
"452","B cell"
"453","B cell"
"454","B cell"
"455","B cell"
"456","B cell"
"457","B cell"
"458","B cell"
"459","B cell"
"460","B cell"
"461","B cell"
"462","B cell"
"463","B cell"
"464","B cell"
"465","B cell"
"466","B cell"
"467","B cell"
"468","B cell"
"469","B cell"
"470","B cell"
"471","B cell"
"472","B cell"
"473","B cell"
"474","B cell"
"475","B cell"
"476","B cell"
"477","B cell"
"478","B cell"
"479","B cell"
"480","B cell"
"481","B cell"
"482","B cell"
"483","B cell"
"484","B cell"
"485","B cell"
"486","B cell"
"487","unassigned"
"488","B cell"
"489","B cell"
"490","B cell"
"491","B cell"
"492","B cell"
"493","B cell"
"494","B cell"
"495","B cell"
"496","B cell"
"497","B cell"
"498","B cell"
"499","B cell"
"500","B cell"
"501","B cell"
"502","B cell"
"503","B cell"
"504","B cell"
"505","B cell"
"506","B cell"
"507","B cell"
"508","B cell"
"509","B cell"
"510","B cell"
"511","B cell"
"512","B cell"
"513","B cell"
"514","B cell"
"515","B cell"
"516","B cell"
"517","B cell"
"518","B cell"
"519","B cell"
"520","B cell"
"521","B cell"
"522","B cell"
"523","B cell"
"524","B cell"
"525","B cell"
"526","B cell"
"527","B cell"
"528","B cell"
"529","B cell"
"530","B cell"
"531","B cell"
"532","B cell"
"533","B cell"
"534","B cell"
"535","B cell"
"536","B cell"
"537","B cell"
"538","B cell"
"539","B cell"
"540","B cell"
"541","B cell"
"542","Dendritic cell"
"543","Dendritic cell"
"544","B cell"
"545","B cell"
"546","B cell"
"547","B cell"
"548","B cell"
"549","B cell"
"550","B cell"
"551","B cell"
"552","CD4+ T cell"
"553","B cell"
"554","B cell"
"555","B cell"
"556","B cell"
"557","B cell"
"558","B cell"
"559","B cell"
"560","B cell"
"561","B cell"
"562","B cell"
"563","B cell"
"564","B cell"
"565","B cell"
"566","B cell"
"567","B cell"
"568","B cell"
"569","B cell"
"570","B cell"
"571","B cell"
"572","B cell"
"573","B cell"
"574","B cell"
"575","B cell"
"576","B cell"
"577","B cell"
"578","B cell"
"579","B cell"
"580","B cell"
"581","B cell"
"582","B cell"
"583","B cell"
"584","B cell"
"585","B cell"
"586","B cell"
"587","B cell"
"588","B cell"
"589","B cell"
"590","Dendritic cell"
"591","B cell"
"592","B cell"
"593","B cell"
"594","B cell"
"595","B cell"
"596","B cell"
"597","B cell"
"598","B cell"
"599","B cell"
"600","B cell"
"601","B cell"
"602","B cell"
"603","Dendritic cell"
"604","B cell"
"605","B cell"
"606","B cell"
"607","B cell"
"608","B cell"
"609","B cell"
"610","B cell"
"611","B cell"
"612","B cell"
"613","B cell"
"614","B cell"
"615","B cell"
"616","unassigned"
"617","B cell"
"618","B cell"
"619","B cell"
"620","B cell"
"621","B cell"
"622","B cell"
"623","B cell"
"624","B cell"
"625","B cell"
"626","B cell"
"627","B cell"
"628","B cell"
"629","B cell"
"630","B cell"
"631","B cell"
"632","B cell"
"633","B cell"
"634","B cell"
"635","unassigned"
"636","B cell"
"637","B cell"
"638","B cell"
"639","B cell"
"640","B cell"
"641","B cell"
"642","B cell"
"643","B cell"
"644","B cell"
"645","B cell"
"646","B cell"
"647","B cell"
"648","B cell"
"649","B cell"
"650","B cell"
"651","B cell"
"652","B cell"
"653","B cell"
"654","B cell"
"655","B cell"
"656","B cell"
"657","B cell"
"658","B cell"
"659","B cell"
"660","B cell"
"661","B cell"
"662","B cell"
"663","B cell"
"664","B cell"
"665","B cell"
"666","Dendritic cell"
"667","B cell"
"668","B cell"
"669","B cell"
"670","B cell"
"671","B cell"
"672","B cell"
"673","B cell"
"674","B cell"
"675","B cell"
"676","B cell"
"677","B cell"
"678","B cell"
"679","B cell"
"680","B cell"
"681","B cell"
"682","B cell"
"683","B cell"
"684","B cell"
"685","B cell"
"686","B cell"
"687","B cell"
"688","B cell"
"689","B cell"
"690","Cytotoxic T cell"
"691","Cytotoxic T cell"
"692","CD4+ T cell"
"693","CD4+ T cell"
"694","CD4+ T cell"
"695","unassigned"
"696","CD4+ T cell"
"697","Cytotoxic T cell"
"698","CD4+ T cell"
"699","CD4+ T cell"
"700","unassigned"
"701","CD4+ T cell"
"702","CD4+ T cell"
"703","unassigned"
"704","CD4+ T cell"
"705","unassigned"
"706","unassigned"
"707","CD4+ T cell"
"708","CD4+ T cell"
"709","unassigned"
"710","unassigned"
"711","unassigned"
"712","unassigned"
"713","Cytotoxic T cell"
"714","CD4+ T cell"
"715","CD4+ T cell"
"716","Dendritic cell"
"717","unassigned"
"718","CD4+ T cell"
"719","CD4+ T cell"
"720","CD4+ T cell"
"721","unassigned"
"722","unassigned"
"723","CD4+ T cell"
"724","Cytotoxic T cell"
"725","CD4+ T cell"
"726","unassigned"
"727","unassigned"
"728","unassigned"
"729","unassigned"
"730","CD4+ T cell"
"731","unassigned"
"732","unassigned"
"733","unassigned"
"734","unassigned"
"735","Cytotoxic T cell"
"736","CD4+ T cell"
"737","CD4+ T cell"
"738","CD4+ T cell"
"739","unassigned"
"740","Cytotoxic T cell"
"741","CD4+ T cell"
"742","CD4+ T cell"
"743","Cytotoxic T cell"
"744","unassigned"
"745","unassigned"
"746","Cytotoxic T cell"
"747","CD4+ T cell"
"748","unassigned"
"749","CD4+ T cell"
"750","CD4+ T cell"
"751","CD4+ T cell"
"752","CD4+ T cell"
"753","unassigned"
"754","CD4+ T cell"
"755","CD4+ T cell"
"756","CD4+ T cell"
"757","CD4+ T cell"
"758","unassigned"
"759","Cytotoxic T cell"
"760","unassigned"
"761","CD4+ T cell"
"762","Cytotoxic T cell"
"763","unassigned"
"764","CD4+ T cell"
"765","CD4+ T cell"
"766","unassigned"
"767","CD4+ T cell"
"768","unassigned"
"769","Cytotoxic T cell"
"770","Dendritic cell"
"771","unassigned"
"772","CD4+ T cell"
"773","CD4+ T cell"
"774","Dendritic cell"
"775","unassigned"
"776","CD4+ T cell"
"777","CD4+ T cell"
"778","Cytotoxic T cell"
"779","CD4+ T cell"
"780","CD4+ T cell"
"781","CD4+ T cell"
"782","Cytotoxic T cell"
"783","CD4+ T cell"
"784","Cytotoxic T cell"
"785","Cytotoxic T cell"
"786","CD4+ T cell"
"787","Cytotoxic T cell"
"788","unassigned"
"789","unassigned"
"790","CD4+ T cell"
"791","CD4+ T cell"
"792","Cytotoxic T cell"
"793","Dendritic cell"
"794","CD4+ T cell"
"795","CD4+ T cell"
"796","unassigned"
"797","unassigned"
"798","unassigned"
"799","unassigned"
"800","CD4+ T cell"
"801","unassigned"
"802","CD4+ T cell"
"803","unassigned"
"804","unassigned"
"805","CD4+ T cell"
"806","unassigned"
"807","unassigned"
"808","CD4+ T cell"
"809","unassigned"
"810","Cytotoxic T cell"
"811","unassigned"
"812","unassigned"
"813","Cytotoxic T cell"
"814","CD4+ T cell"
"815","Cytotoxic T cell"
"816","unassigned"
"817","CD4+ T cell"
"818","CD4+ T cell"
"819","CD4+ T cell"
"820","CD4+ T cell"
"821","unassigned"
"822","unassigned"
"823","unassigned"
"824","CD4+ T cell"
"825","Cytotoxic T cell"
"826","Cytotoxic T cell"
"827","CD4+ T cell"
"828","unassigned"
"829","unassigned"
"830","Cytotoxic T cell"
"831","unassigned"
"832","CD4+ T cell"
"833","Cytotoxic T cell"
"834","Cytotoxic T cell"
"835","unassigned"
"836","CD4+ T cell"
"837","unassigned"
"838","Cytotoxic T cell"
"839","unassigned"
"840","Cytotoxic T cell"
"841","Cytotoxic T cell"
"842","unassigned"
"843","unassigned"
"844","CD4+ T cell"
"845","CD4+ T cell"
"846","CD4+ T cell"
"847","Cytotoxic T cell"
"848","CD4+ T cell"
"849","unassigned"
"850","CD4+ T cell"
"851","CD4+ T cell"
"852","CD4+ T cell"
"853","unassigned"
"854","CD4+ T cell"
"855","CD4+ T cell"
"856","CD4+ T cell"
"857","Cytotoxic T cell"
"858","unassigned"
"859","CD4+ T cell"
"860","unassigned"
"861","CD4+ T cell"
"862","CD4+ T cell"
"863","CD4+ T cell"
"864","CD4+ T cell"
"865","unassigned"
"866","CD4+ T cell"
"867","unassigned"
"868","Cytotoxic T cell"
"869","unassigned"
"870","Cytotoxic T cell"
"871","Cytotoxic T cell"
"872","B cell"
"873","Cytotoxic T cell"
"874","CD4+ T cell"
"875","unassigned"
"876","unassigned"
"877","CD4+ T cell"
"878","CD4+ T cell"
"879","CD4+ T cell"
"880","unassigned"
"881","unassigned"
"882","CD4+ T cell"
"883","Dendritic cell"
"884","CD4+ T cell"
"885","CD4+ T cell"
"886","Cytotoxic T cell"
"887","CD4+ T cell"
"888","Cytotoxic T cell"
"889","unassigned"
"890","unassigned"
"891","CD4+ T cell"
"892","unassigned"
"893","CD4+ T cell"
"894","CD4+ T cell"
"895","unassigned"
"896","CD4+ T cell"
"897","CD4+ T cell"
"898","Cytotoxic T cell"
"899","unassigned"
"900","CD4+ T cell"
"901","Cytotoxic T cell"
"902","unassigned"
"903","CD4+ T cell"
"904","B cell"
"905","CD4+ T cell"
"906","Cytotoxic T cell"
"907","Cytotoxic T cell"
"908","Cytotoxic T cell"
"909","unassigned"
"910","Dendritic cell"
"911","unassigned"
"912","CD4+ T cell"
"913","CD4+ T cell"
"914","unassigned"
"915","CD4+ T cell"
"916","CD4+ T cell"
"917","CD4+ T cell"
"918","Cytotoxic T cell"
"919","unassigned"
"920","unassigned"
"921","unassigned"
"922","unassigned"
"923","CD4+ T cell"
"924","Dendritic cell"
"925","CD4+ T cell"
"926","B cell"
"927","CD4+ T cell"
"928","CD4+ T cell"
"929","Cytotoxic T cell"
"930","CD4+ T cell"
"931","unassigned"
"932","unassigned"
"933","CD4+ T cell"
"934","unassigned"
"935","CD4+ T cell"
"936","unassigned"
"937","CD4+ T cell"
"938","CD4+ T cell"
"939","Cytotoxic T cell"
"940","CD4+ T cell"
"941","CD4+ T cell"
"942","unassigned"
"943","CD4+ T cell"
"944","CD4+ T cell"
"945","unassigned"
"946","Cytotoxic T cell"
"947","Cytotoxic T cell"
"948","CD4+ T cell"
"949","CD4+ T cell"
"950","unassigned"
"951","CD4+ T cell"
"952","CD4+ T cell"
"953","Plasmacytoid dendritic cell"
"954","CD4+ T cell"
"955","Cytotoxic T cell"
"956","unassigned"
"957","Cytotoxic T cell"
"958","Cytotoxic T cell"
"959","CD4+ T cell"
"960","CD4+ T cell"
"961","CD4+ T cell"
"962","unassigned"
"963","Cytotoxic T cell"
"964","Cytotoxic T cell"
"965","Cytotoxic T cell"
"966","CD4+ T cell"
"967","CD4+ T cell"
"968","unassigned"
"969","unassigned"
"970","Cytotoxic T cell"
"971","CD4+ T cell"
"972","unassigned"
"973","CD4+ T cell"
"974","unassigned"
"975","Cytotoxic T cell"
"976","unassigned"
"977","Cytotoxic T cell"
"978","CD4+ T cell"
"979","unassigned"
"980","CD4+ T cell"
"981","CD4+ T cell"
"982","CD4+ T cell"
"983","CD4+ T cell"
"984","Cytotoxic T cell"
"985","unassigned"
"986","Cytotoxic T cell"
"987","Cytotoxic T cell"
"988","Cytotoxic T cell"
"989","unassigned"
"990","Cytotoxic T cell"
"991","CD4+ T cell"
"992","CD4+ T cell"
"993","unassigned"
"994","CD4+ T cell"
"995","Cytotoxic T cell"
"996","CD4+ T cell"
"997","unassigned"
"998","CD4+ T cell"
"999","CD4+ T cell"
"1000","unassigned"
"1001","CD4+ T cell"
"1002","Cytotoxic T cell"
"1003","unassigned"
"1004","CD4+ T cell"
"1005","Cytotoxic T cell"
"1006","unassigned"
"1007","unassigned"
"1008","Cytotoxic T cell"
"1009","CD4+ T cell"
"1010","Cytotoxic T cell"
"1011","CD4+ T cell"
"1012","unassigned"
"1013","Cytotoxic T cell"
"1014","unassigned"
"1015","CD4+ T cell"
"1016","CD4+ T cell"
"1017","unassigned"
"1018","unassigned"
"1019","CD4+ T cell"
"1020","unassigned"
"1021","CD4+ T cell"
"1022","CD4+ T cell"
"1023","CD4+ T cell"
"1024","unassigned"
"1025","Cytotoxic T cell"
"1026","CD4+ T cell"
"1027","Cytotoxic T cell"
"1028","Cytotoxic T cell"
"1029","unassigned"
"1030","CD4+ T cell"
"1031","CD4+ T cell"
"1032","CD4+ T cell"
"1033","unassigned"
"1034","unassigned"
"1035","Cytotoxic T cell"
"1036","unassigned"
"1037","unassigned"
"1038","CD4+ T cell"
"1039","Cytotoxic T cell"
"1040","Cytotoxic T cell"
"1041","Cytotoxic T cell"
"1042","Cytotoxic T cell"
"1043","Cytotoxic T cell"
"1044","unassigned"
"1045","unassigned"
"1046","CD4+ T cell"
"1047","CD4+ T cell"
"1048","Cytotoxic T cell"
"1049","Cytotoxic T cell"
"1050","Cytotoxic T cell"
"1051","CD4+ T cell"
"1052","unassigned"
"1053","Cytotoxic T cell"
"1054","Cytotoxic T cell"
"1055","unassigned"
"1056","Cytotoxic T cell"
"1057","unassigned"
"1058","unassigned"
"1059","unassigned"
"1060","unassigned"
"1061","CD4+ T cell"
"1062","Cytotoxic T cell"
"1063","CD4+ T cell"
"1064","CD4+ T cell"
"1065","Cytotoxic T cell"
"1066","unassigned"
"1067","CD4+ T cell"
"1068","Cytotoxic T cell"
"1069","CD4+ T cell"
"1070","Dendritic cell"
"1071","CD4+ T cell"
"1072","CD4+ T cell"
"1073","B cell"
"1074","CD4+ T cell"
"1075","CD4+ T cell"
"1076","Cytotoxic T cell"
"1077","Cytotoxic T cell"
"1078","CD4+ T cell"
"1079","CD4+ T cell"
"1080","CD4+ T cell"
"1081","Cytotoxic T cell"
"1082","CD4+ T cell"
"1083","CD4+ T cell"
"1084","unassigned"
"1085","CD4+ T cell"
"1086","unassigned"
"1087","CD4+ T cell"
"1088","CD4+ T cell"
"1089","Cytotoxic T cell"
"1090","CD4+ T cell"
"1091","Cytotoxic T cell"
"1092","CD4+ T cell"
"1093","Cytotoxic T cell"
"1094","CD4+ T cell"
"1095","CD4+ T cell"
"1096","CD4+ T cell"
"1097","Cytotoxic T cell"
"1098","Cytotoxic T cell"
"1099","CD4+ T cell"
"1100","Cytotoxic T cell"
"1101","Cytotoxic T cell"
"1102","Cytotoxic T cell"
"1103","CD4+ T cell"
"1104","Cytotoxic T cell"
"1105","CD4+ T cell"
"1106","CD4+ T cell"
"1107","CD4+ T cell"
"1108","B cell"
"1109","unassigned"
"1110","CD4+ T cell"
"1111","unassigned"
"1112","Cytotoxic T cell"
"1113","CD4+ T cell"
"1114","unassigned"
"1115","CD4+ T cell"
"1116","unassigned"
"1117","Cytotoxic T cell"
"1118","CD4+ T cell"
"1119","CD4+ T cell"
"1120","CD4+ T cell"
"1121","Cytotoxic T cell"
"1122","Cytotoxic T cell"
"1123","Cytotoxic T cell"
"1124","unassigned"
"1125","unassigned"
"1126","Cytotoxic T cell"
"1127","Cytotoxic T cell"
"1128","unassigned"
"1129","unassigned"
"1130","CD4+ T cell"
"1131","CD4+ T cell"
"1132","unassigned"
"1133","Cytotoxic T cell"
"1134","CD4+ T cell"
"1135","CD4+ T cell"
"1136","CD4+ T cell"
"1137","CD4+ T cell"
"1138","unassigned"
"1139","Cytotoxic T cell"
"1140","CD4+ T cell"
"1141","unassigned"
"1142","CD4+ T cell"
"1143","CD4+ T cell"
"1144","unassigned"
"1145","CD4+ T cell"
"1146","unassigned"
"1147","CD4+ T cell"
"1148","CD4+ T cell"
"1149","CD4+ T cell"
"1150","CD4+ T cell"
"1151","CD4+ T cell"
"1152","CD4+ T cell"
"1153","Cytotoxic T cell"
"1154","CD4+ T cell"
"1155","Cytotoxic T cell"
"1156","Cytotoxic T cell"
"1157","Cytotoxic T cell"
"1158","unassigned"
"1159","unassigned"
"1160","unassigned"
"1161","unassigned"
"1162","CD4+ T cell"
"1163","CD4+ T cell"
"1164","CD4+ T cell"
"1165","CD4+ T cell"
"1166","CD4+ T cell"
"1167","unassigned"
"1168","CD4+ T cell"
"1169","unassigned"
"1170","unassigned"
"1171","CD4+ T cell"
"1172","CD4+ T cell"
"1173","Cytotoxic T cell"
"1174","CD4+ T cell"
"1175","Cytotoxic T cell"
"1176","CD4+ T cell"
"1177","B cell"
"1178","CD4+ T cell"
"1179","CD4+ T cell"
"1180","CD4+ T cell"
"1181","CD4+ T cell"
"1182","unassigned"
"1183","unassigned"
"1184","CD4+ T cell"
"1185","Dendritic cell"
"1186","CD4+ T cell"
"1187","unassigned"
"1188","Dendritic cell"
"1189","CD4+ T cell"
"1190","CD4+ T cell"
"1191","unassigned"
"1192","Cytotoxic T cell"
"1193","CD4+ T cell"
"1194","unassigned"
"1195","unassigned"
"1196","unassigned"
"1197","unassigned"
"1198","CD4+ T cell"
"1199","Cytotoxic T cell"
"1200","CD4+ T cell"
"1201","CD4+ T cell"
"1202","unassigned"
"1203","B cell"
"1204","CD4+ T cell"
"1205","CD4+ T cell"
"1206","CD4+ T cell"
"1207","unassigned"
"1208","CD4+ T cell"
"1209","Cytotoxic T cell"
"1210","CD4+ T cell"
"1211","B cell"
"1212","CD4+ T cell"
"1213","Cytotoxic T cell"
"1214","CD4+ T cell"
